gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,has_class_cnt,total_sec_taken,is_correct
male,9600,1,6,tc,0,0,0,0,0,65.90243902439025,1
no_value,74062,17,6,ml,2,0,0,2,0,52.18705035971223,1
no_value,103425,22,6,tc,1,0,0,1,0,71.39296636085626,1
no_value,10125,1,7,tp,1,0,0,1,0,38.92307692307692,1
male,31943,5,7,tp,0,0,0,0,0,82.1726618705036,1
no_value,5400,3,7,tp,1,0,0,1,0,58.41666666666666,1
no_value,19631,3,7,tc,0,0,0,0,0,35.86,1
no_value,3820,0,7,kh,0,0,0,0,0,50.0,1
no_value,5685,0,7,ty,0,0,0,0,0,137.48717948717947,1
male,7500,0,7,ml,2,0,0,3,0,36.41935483870968,1
unspecified,1200,0,7,tp,1,0,0,1,0,82.0625,0
no_value,17629,5,7,tp,1,0,0,1,0,68.25675675675676,1
no_value,30375,3,7,ilc,2,0,0,2,0,40.02976190476191,1
male,31529,10,7,ntpc,1,0,0,1,0,61.71604938271605,0
no_value,2118,1,7,tp,0,0,0,0,0,8.333333333333334,0
male,44081,7,7,kh,1,0,0,0,0,12.297029702970296,1
male,217114,26,7,ntpc,0,0,0,0,0,75.41121495327103,1
no_value,5499,0,8,ntpc,0,0,0,0,0,120.10526315789474,1
no_value,282,0,8,tc,0,0,0,0,0,8.0,0
no_value,5736,4,8,chc,0,0,0,0,0,56.42857142857143,1
unspecified,91513,9,8,ty,1,0,0,1,0,59.11111111111112,1
no_value,68561,8,8,ntpc,0,0,0,0,0,13.904494382022472,1
no_value,8978,1,8,ntpc,1,0,0,1,0,48.79166666666666,1
female,62742,5,8,ntpc,0,0,0,0,0,91.78527607361964,1
no_value,9818,0,9,kh,0,0,0,0,0,23.2,1
no_value,19164,1,9,tc,0,0,0,0,0,22.318181818181817,1
no_value,7370,4,9,tp,0,0,0,0,0,11.666666666666666,1
no_value,975,0,9,ty,0,0,0,0,0,27.5,1
no_value,53164,4,9,tn,0,0,0,0,0,45.03846153846154,1
no_value,1455,0,9,ty,0,0,0,0,0,16.666666666666668,0
no_value,9750,0,10,ty,0,0,0,0,0,15.65625,1
female,413583,7,10,ty,0,0,0,0,0,20.77452491011813,1
no_value,102930,2,10,ty,0,0,0,0,0,32.74590163934426,1
female,298148,15,10,kh,0,0,0,0,0,53.19097888675624,1
no_value,107460,3,10,ty,0,0,0,0,0,63.626198083067095,1
no_value,239847,34,11,tp,0,0,0,0,0,71.37878787878788,1
female,21854,1,1,tp,0,0,0,0,0,58.36363636363637,1
male,36630,1,1,ntpc,0,0,0,0,0,64.21428571428571,1
no_value,16125,1,2,tp,0,0,0,0,0,13.5,1
no_value,2427,0,2,tc,0,0,0,0,0,42.81818181818182,1
female,20065,4,3,tc,0,0,0,0,0,53.50666666666667,1
